class	class label	textdef	rhea	ec	metacyc
GO:0102767	flavanone 4'-O-methyltransferase activity	Catalysis of the reaction: (S)-naringenin + S-adenosyl-L-methionine  = 2 H+ + ponciretin + S-adenosyl-L-homocysteine		EC:2.1.1.231	MetaCyc:RXN-7777
GO:0102820	norbixin methyltransferase activity	Catalysis of the reaction: norbixin + S-adenosyl-L-methionine  <=> bixin + S-adenosyl-L-homocysteine			MetaCyc:RXN-8238
GO:0102821	bixin methyltransferase activity	Catalysis of the reaction: bixin + S-adenosyl-L-methionine  <=> bixin dimethyl ester + S-adenosyl-L-homocysteine			MetaCyc:RXN-8239
GO:0102822	quercetin 3'-O-methyltransferase activity	Catalysis of the reaction: quercetin-7-olate + S-adenosyl-L-methionine  = H+ + isorhamnetin + S-adenosyl-L-homocysteine		EC:2.1.1.42	MetaCyc:RXN-8262
GO:0102913	3-aminomethylindole N-methyltransferase activity	Catalysis of the reaction: indol-3-ylmethylamine + S-adenosyl-L-methionine  = H+ + N-methyl-3-aminomethylindole + S-adenosyl-L-homocysteine			MetaCyc:RXN-8686
GO:0102914	N-methyl-3-aminomethylindole N-methyltransferase activity	Catalysis of the reaction: N-methyl-3-aminomethylindole + S-adenosyl-L-methionine  = H+ + gramine + S-adenosyl-L-homocysteine			MetaCyc:RXN-8687
GO:0102917	(S)-reticuline 7-O-methyltransferase activity	Catalysis of the reaction: (S)-reticulinium(1+) + S-adenosyl-L-methionine  <=> H+ + laudanine(1+) + S-adenosyl-L-homocysteine		EC:2.1.1.291	MetaCyc:RXN-8700
GO:0102918	(R)-reticuline 7-O-methyltransferase activity	Catalysis of the reaction: (R)-reticulinium(1+) + S-adenosyl-L-methionine  <=> (R)-laudanine(1+) + S-adenosyl-L-homocysteine  + H+		EC:2.1.1.291	MetaCyc:RXN-8701
GO:0102938	orcinol O-methyltransferase activity	Catalysis of the reaction: orcinol + S-adenosyl-L-methionine  = H+ + 3-methoxy-5-hydroxytoluene + S-adenosyl-L-homocysteine		EC:2.1.1.6	MetaCyc:RXN-9017
GO:0102939	3-methoxy-5-hydroxytoluene O-methyltransferase activity	Catalysis of the reaction: 3-methoxy-5-hydroxytoluene + S-adenosyl-L-methionine  = H+ + 3,5-dimethoxytoluene + S-adenosyl-L-homocysteine			MetaCyc:RXN-9018
GO:0102940	phloroglucinol O-methyltransferase activity	Catalysis of the reaction: phloroglucinol + S-adenosyl-L-methionine  = H+ + 3,5-dihydroxyanisole + S-adenosyl-L-homocysteine			MetaCyc:RXN-9020
GO:0102941	3,5-dihydroxyanisole O-methyltransferase activity	Catalysis of the reaction: 3,5-dihydroxyanisole + S-adenosyl-L-methionine  = H+ + 3,5-dimethoxyphenol + S-adenosyl-L-homocysteine			MetaCyc:RXN-9021
GO:0102942	3,5-dimethoxyphenol O-methyltransferase activity	Catalysis of the reaction: 3,5-dimethoxyphenol + S-adenosyl-L-methionine  = H+ + 1,3,5-trimethoxybenzene + S-adenosyl-L-homocysteine			MetaCyc:RXN-9022
GO:0102955	S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity	Catalysis of the reaction: 2-demethylmenaquinol-7 + S-adenosyl-L-methionine  = menaquinol-7 + S-adenosyl-L-homocysteine  + H+		EC:2.1.1.163	MetaCyc:RXN-9191
GO:0102964	S-adenosyl-L-methionine:(S)-corytuberine-N-methyltransferase activity	Catalysis of the reaction: (S)-corytuberine + S-adenosyl-L-methionine  <=> H+ + magnoflorine + S-adenosyl-L-homocysteine			MetaCyc:RXN-9315
GO:0102990	5-n-alk(en)ylresorcinol O-methyltransferase activity	Catalysis of the reaction: 5-(pentadeca-8,11,14-trien-1-yl)resorcinol + S-adenosyl-L-methionine  <=> H+ + 5-(pentadeca-8,11,14-trien-1-yl)resorcinol monomethyl ether + S-adenosyl-L-homocysteine			MetaCyc:RXN-9619
GO:0103007	indole-3-acetate carboxyl methyltransferase activity	Catalysis of the reaction: indole-3-acetate + S-adenosyl-L-methionine  <=> methyl (indol-3-yl)acetate + S-adenosyl-L-homocysteine		EC:2.1.1.278	MetaCyc:RXN-9825
GO:0030407	formimidoyltransferase activity	Catalysis of the transfer of a formimino group from 5-formimidoyltetrahydrofolate to an acceptor molecule such as an amino acid.			
GO:0099619	UDP-4-amino-4-deoxy-L-arabinose formyltransferase activity	Catalysis of the reaction: 10-formyltetrahydrofolate + UDP-4-amino-4-deoxy-beta-L-arabinopyranose = 5,6,7,8-tetrahydrofolate + UDP-4-deoxy-4-formamido-beta-L-arabinopyranose		EC:2.1.2.13	
GO:0008374	O-acyltransferase activity	Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule.		EC:2.3.1	
GO:0008913	lauroyltransferase activity	Catalysis of the transfer of a lauroyl (dodecanoyl) group from one compound to another.			
GO:0008951	palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity	Catalysis of the reaction: a palmitoleoyl-[acyl-carrier protein] + alpha-KDO-(2->4)-alpha-KDO-(2->6)-lipid IVA = KDO2-(palmitoleoyl)-lipid IVA + a holo-[acyl-carrier protein].		EC:2.3.1	MetaCyc:PALMITOTRANS-RXN
GO:0016407	acetyltransferase activity	Catalysis of the transfer of an acetyl group to an acceptor molecule.		EC:2.3.1	
GO:0016408	C-acyltransferase activity	Catalysis of the transfer of an acyl group to a carbon atom on the acceptor molecule.		EC:2.3.1	
GO:0016409	palmitoyltransferase activity	Catalysis of the transfer of a palmitoyl (CH3-[CH2]14-CO-) group to an acceptor molecule.		EC:2.3.1	
GO:0016410	N-acyltransferase activity	Catalysis of the transfer of an acyl group to a nitrogen atom on the acceptor molecule.		EC:2.3.1	
GO:0016415	octanoyltransferase activity	Catalysis of the transfer of an octanoyl (CH3-[CH2]6-CO-) group to an acceptor molecule.		EC:2.3.1.181	
GO:0016417	S-acyltransferase activity	Catalysis of the transfer of an acyl group to a sulfur atom on the acceptor molecule.			
GO:0016420	malonyltransferase activity	Catalysis of the transfer of a malonyl (HOOC-CH2-CO-) group to an acceptor molecule.			
GO:0016748	succinyltransferase activity	Catalysis of the transfer of a succinyl (3-carboxypropanoyl) group to an acceptor molecule.			
GO:0016752	sinapoyltransferase activity	Catalysis of the transfer of a sinapoyl group to an acceptor molecule.			
GO:0017118	lipoyltransferase activity	Catalysis of the transfer of the lipoyl group from lipoyl-AMP to the lysine residue of lipoate-dependent enzyme.			
GO:0019107	myristoyltransferase activity	Catalysis of the transfer of a myristoyl (CH3-[CH2]12-CO-) group to an acceptor molecule.			
GO:0033811	flavonol-3-O-triglucoside O-coumaroyltransferase activity	Catalysis of the reaction: 4-coumaroyl-CoA + a flavonol 3-O-[beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside] = CoA + a flavonol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside].	RHEA:22160	EC:2.3.1.173	MetaCyc:2.3.1.173-RXN
GO:0034326	butanoyltransferase activity	Catalysis of the transfer of a butanoyl (CH3-[CH2]2-CO-) group to an acceptor molecule.			
GO:0034327	hexanoyltransferase activity	Catalysis of the transfer of a hexanoyl (CH3-[CH2]4-CO-) group to an acceptor molecule.			
GO:0034328	decanoyltransferase activity	Catalysis of the transfer of a decanoyl (CH3-[CH2]8-CO-) group to an acceptor molecule.			
GO:0046919	pyruvyltransferase activity	Catalysis of the transfer of a pyruvyl (oxopropanoyl) group from one compound to another.			
GO:0050734	hydroxycinnamoyltransferase activity	Catalysis of the transfer of a hydroxycinnamoyl group to an acceptor molecule.			
GO:0071617	lysophospholipid acyltransferase activity	Catalysis of the transfer of acyl groups from an acyl-CoA to a lysophospholipid.			
GO:0090439	tetraketide alpha-pyrone synthase activity	Catalyzes the reaction: a hydroxyacyl-CoA + 3 malonyl-CoA + 2 H+ = a hydroxylated tetraketide alpha-pyrone + 3 CO2 + 4 coenzyme A .			
GO:0102080	phenylacetyl-coenzyme A:glycine N-acyltransferase activity	Catalysis of the reaction: phenylacetyl-CoA + glycine <=> H+ + phenylacetylglycine + coenzyme A		EC:2.3.1.192	MetaCyc:RXN-10821
GO:0102093	acrylate:acyl-coA CoA transferase activity	Catalysis of the reaction: acryloyl-CoA + H2O <=> acrylate + coenzyme A + H+			MetaCyc:RXN-10985
GO:0102103	demethoxycurcumin synthase	Catalysis of the reaction: (4-coumaroyl)acetyl-CoA + 4-coumaryl-CoA + H2O <=> bisdemethoxycurcumin + 2 coenzyme A + carbon dioxide		EC:2.3.1.219	MetaCyc:RXN-11223
GO:0102104	demethoxycurcumin synthase activity	Catalysis of the reaction: (4-coumaroyl)acetyl-CoA + feruloyl-CoA + H2O <=> demethoxycurcumin + 2 coenzyme A + carbon dioxide			MetaCyc:RXN-11224
GO:0102105	demethoxycurcumin synthase activity from feruloylacetyl-CoA	Catalysis of the reaction: feruloylacetyl-CoA + 4-coumaryl-CoA + H2O = demethoxycurcumin + 2 coenzyme A + carbon dioxide		EC:2.3.1.219	MetaCyc:RXN-11225
GO:0102106	curcumin synthase activity	Catalysis of the reaction: feruloylacetyl-CoA + feruloyl-CoA(4-) + H2O <=> curcumin + 2 coenzyme A(4-) + carbon dioxide		EC:2.3.1.217	MetaCyc:RXN-11226
GO:0102128	chalcone synthase activity	Catalysis of the reaction: 4-dihydrocoumaroyl-CoA + 3 malonyl-CoA + 3 H+ = phloretin + 4 coenzyme A + 3 carbon dioxide			MetaCyc:RXN-11468
GO:0102165	(Z)-3-hexen-1-ol acetyltransferase activity	Catalysis of the reaction: acetyl-CoA + (Z)-hex-3-en-1-ol <=> (3Z)-hex-3-en-1-yl acetate + coenzyme A		EC:2.3.1.195	MetaCyc:RXN-11852
GO:0102247	malonyl-malonyl acyl carrier protein-condensing enzyme activity	Catalysis of the reaction: 2 H+ + 2 a malonyl-[acp] <=> 2 carbon dioxide + an acetoacetyl-[acp] + a holo-[acyl-carrier protein]			MetaCyc:RXN-12361
GO:0102248	diacylglycerol transacylase activity	Catalysis of the reaction: 2 a 1,2-diacyl-sn-glycerol = a triacyl-sn-glycerol + a 2-monoglyceride			MetaCyc:RXN-12383
GO:0102275	cysteine-S-conjugate N-malonyl transferase activity	Catalysis of the reaction: malonyl-CoA(5-) + an L-cysteine-S-conjugate <=> coenzyme A + H+ + an N-malonyl-L-cysteine-S-conjugate			MetaCyc:RXN-12534
GO:0102279	lecithin:11-cis retinol acyltransferase activity	Catalysis of the reaction: an 11-cis retinol-[cellular-retinol-binding-protein] + a phosphatidylcholine <=> a cellular-retinol-binding protein + an 11-cis-retinyl ester + a 1-lysophosphatidylcholine		EC:2.3.1.135	MetaCyc:RXN-12563
GO:0102286	ornithine N-delta-acetyltransferase activity	Catalysis of the reaction: L-ornithinium(1+) = N(5)-acetyl-L-ornithine			MetaCyc:RXN-12667
GO:0102301	gamma-linolenate elongase activity	Catalysis of the reaction: malonyl-CoA + gamma-linolenoyl-CoA + H+ = (8Z,11Z,14Z)-3-oxoicosa-8,11,14-trienoyl-CoA + coenzyme A + carbon dioxide			MetaCyc:RXN-12777
GO:0102330	palmitoyl-[acp] elongase/decarboxylase activity	Catalysis of the reaction: malonyl-CoA + a palmitoyl-[acp] = 1-heptadecene + 2 carbon dioxide + coenzyme A + a holo-[acyl-carrier protein]			MetaCyc:RXN-13258
GO:0102331	heptadecanoyl-[acp] elongase/decarboxylase activity	Catalysis of the reaction: malonyl-CoA + 3 H+ + a heptodecanoyl-[acp] = octadec-1-ene + 2 carbon dioxide + coenzyme A + a holo-[acyl-carrier protein]			MetaCyc:RXN-13259
GO:0102332	fatty-acyl-[acp] elongase/decarboxylase activity	Catalysis of the reaction: malonyl-CoA + H+ + a long-chain acyl-[acp] + a reduced electron acceptor = 2 carbon dioxide + coenzyme A + a terminal olefin + a holo-[acyl-carrier protein] + an oxidized electron acceptor			MetaCyc:RXN-13260
GO:0102333	stearoyl-[acp] elongase/decarboxylase activity	Catalysis of the reaction: malonyl-CoA + 3 H+ + a stearoyl-[acp] = nonadec-1-ene + 2 carbon dioxide + coenzyme A + a holo-[acyl-carrier protein]			MetaCyc:RXN-13261
GO:0102387	2-phenylethanol acetyltransferase activity	Catalysis of the reaction: 2-phenylethanol + acetyl-CoA = phenethyl acetate + coenzyme A		EC:2.3.1.224	MetaCyc:RXN-13542
GO:0102406	omega-hydroxypalmitate O-sinapoyl transferase activity	Catalysis of the reaction: sinapoyl-CoA + 16-hydroxypalmitate <=> coenzyme A + 16-sinapoyloxypalmitate		EC:2.3.1.188	MetaCyc:RXN-13728
GO:0102407	sn-2-glycerol-3-phosphate C22:0-DCA-CoA acyl transferase activity	Catalysis of the reaction: C22:0-DCA-CoA + sn-glycerol 3-phosphate <=> coenzyme A + 2-C22:0-DCA-LPA			MetaCyc:RXN-13734
GO:0102408	sn-2-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity	Catalysis of the reaction: hexadecanedioyl-CoA + sn-glycerol 3-phosphate <=> coenzyme A + sn-2-C16:0-DCA-LPA			MetaCyc:RXN-13735
GO:0102409	sn-2-glycerol-3-phosphate C16:0-CoA acyl transferase activity	Catalysis of the reaction: behenoyl-CoA + sn-glycerol 3-phosphate(2-) <=> coenzyme A + 2-docosanoyl-glycerol 3-phosphate			MetaCyc:RXN-13736
GO:0102419	sn-2-glycerol-3-phosphate omega-OH-C22:0-CoA acyl transferase activity	Catalysis of the reaction: omega-hydroxy-C22:0-CoA + sn-glycerol 3-phosphate = coenzyme A + 2-omega-hydroxy-C22:0-LPA		EC:2.3.1.198	MetaCyc:RXN-13803
GO:0102420	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity	Catalysis of the reaction: hexadecanedioyl-CoA + sn-glycerol 3-phosphate = coenzyme A + 1-C16:0-alpha,omega-dicarboxyl-2-lysophosphatidate		EC:2.3.1.15	MetaCyc:RXN-13805
GO:0102452	bisdemethoxycurcumin synthase activity	Catalysis of the reaction: 2 4-coumaryl-CoA + malonyl-CoA + H2O + H+ <=> 3 coenzyme A + bisdemethoxycurcumin + 2 carbon dioxide		EC:2.3.1.211	MetaCyc:RXN-13958
GO:0102453	anthocyanidin 3-O-glucoside 6''-O-acyltransferase activity	Catalysis of the reaction: 4-coumaryl-CoA + H+ + an anthocyanidin-3-O-beta-D-glucoside = coenzyme A + H+ + an anthocyanidin-3-O-[6-O-(hydroxycinnamoyl)-beta-D-glucoside]		EC:2.3.1.215	MetaCyc:RXN-13959
GO:0102581	cyanidin 3-O-glucoside-p-coumaroyltransferase activity	Catalysis of the reaction: cyanidin 3-O-beta-D-glucoside betaine + 4-coumaryl-CoA + H+ <=> cyanidin 3-O-(6-O-(E)-4-coumaroyl-beta-D-glucoside) + coenzyme A			MetaCyc:RXN-15327
GO:0102589	cyanidin 3-O-glucoside 3'',6''-O-dimalonyltransferase activity	Catalysis of the reaction: cyanidin 3-O-(6-O-malonyl-beta-D-glucoside) + malonyl-CoA(5-) <=> cyanidin 3-O-(3''', 6''-O-dimalonyl-beta-glucopyranoside) + coenzyme A			MetaCyc:RXN-15336
GO:0102591	delphinidin 7-O-glucoside acyltransferase (acyl-glucose dependent) activity	Catalysis of the reaction: delphinidin 3-O-rutinoside-7-O-glucoside + 1-O-4-hydroxybenzoyl-beta-D-glucose <=> delphinidin 3-O-rutinoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside) + beta-D-glucose			MetaCyc:RXN-15352
GO:0102592	delphinidin 7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) acyltransferase (acyl-glucose dependent activity	Catalysis of the reaction: delphinidin 3-O-rutinoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) + 1-O-4-hydroxybenzoyl-beta-D-glucose <=> violdelphin + beta-D-glucose			MetaCyc:RXN-15354
GO:0102594	cyanidin 7-O-glucoside acyltransferase(acyl-glucose dependent) activity	Catalysis of the reaction: cyanidin 3,7-di-O-beta-D-glucoside betaine + 1-O-4-hydroxybenzoyl-beta-D-glucose <=> cyanidin 3-O-glucoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside) + beta-D-glucose			MetaCyc:RXN-15372
GO:0102595	cyanidin 7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) acyltransferase (acyl-glucose dependent) activity	Catalysis of the reaction: cyanidin 3-O-glucoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside) + 1-O-4-hydroxybenzoyl-beta-D-glucose <=> cyanidin 3-O-glucoside-7-O-(6-O-(4-O-(6-O-(p-hydroxybenzoyl)-glucosyl)-oxybenzoyl)-glucoside) + beta-D-glucose			MetaCyc:RXN-15374
GO:0102649	acetoacetyl-ACP synthase activity	Catalysis of the reaction: acetyl-CoA + malonyl-CoA + H+ + a holo-[acyl-carrier protein] <=> acetoacetyl-ACP + 2 coenzyme A + carbon dioxide			MetaCyc:RXN-15810
GO:0102660	caffeoyl-CoA:shikimate O-(hydroxycinnamoyl)transferase activity	Catalysis of the reaction: caffeoylshikimate + coenzyme A <=> caffeoyl-CoA + shikimate			MetaCyc:RXN-2621
GO:0102720	acetyl-coenzyme A:acetyl alcohol acetyltransferase activity	Catalysis of the reaction: benzyl alcohol + acetyl-CoA = benzyl acetate + coenzyme A		EC:2.3.1.224	MetaCyc:RXN-6762
GO:0102735	trihydroxybenzophenone synthase activity	Catalysis of the reaction: benzoyl-CoA + 3 malonyl-CoA + 3 H+ = 2,4,6-trihydroxybenzophenone + 4 coenzyme A + 3 carbon dioxide		EC:2.3.1.220	MetaCyc:RXN-7481
GO:0102737	p-coumaroyltriacetic acid synthase activity	Catalysis of the reaction: 2 H+ + 4-coumaryl-CoA + H2O + 3 malonyl-CoA <=> 4 coenzyme A + 3 carbon dioxide + p-coumaroyltriacetate			MetaCyc:RXN-7577
GO:0102756	very-long-chain 3-ketoacyl-CoA synthase activity	Catalysis of the reaction: malonyl-CoA + a very-long-chain 2,3,4-saturated fatty acyl CoA = carbon dioxide + coenzyme A + a very-long-chain oxoacyl-CoA		EC:2.3.1.199	MetaCyc:RXN-7697
GO:0102774	p-coumaroyltriacetic acid lactone synthase activity	Catalysis of the reaction: 2 H+ + 4-coumaryl-CoA + 3 malonyl-CoA( <=> p-coumaroyltriacetic acid lactone + 4 coenzyme A + 3 carbon dioxide			MetaCyc:RXN-7822
GO:0102775	6-(4-methyl-2-oxopentyl)-4-hydroxy-2-pyrone synthase activity	Catalysis of the reaction: 2 H+ + isovaleryl-CoA + 3 malonyl-CoA = 6-(4-methyl-2-oxopentyl)-4-hydroxy-2-pyrone + 4 coenzyme A + 3 carbon dioxide			MetaCyc:RXN-7826
GO:0102777	caffeoyl-CoA:pelargonidin-3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase activity	Catalysis of the reaction: anthocyanidin 3,5-di-O-beta-D-glucoside + caffeoyl-CoA <=> pelargonidin-3,5-diglucoside-5-O-caffeoylglucoside + coenzyme A(4-)		EC:2.3.1.153	MetaCyc:RXN-7842
GO:0102787	caffeoyl-CoA:pelargonidin-3-O-beta-D-glucoside-6''-O-acyltransferase activity	Catalysis of the reaction: pelargonidin 3-O-beta-D-glucoside + caffeoyl-CoA = pelargonidin 3-O-beta-D-caffeoylglucoside + coenzyme A			MetaCyc:RXN-7997
GO:0102788	4-coumaroyl-CoA:pelargonidin-3-O-beta-D-glucoside-6''-O-acyltransferase activity	Catalysis of the reaction: 4-coumaryl-CoA + pelargonidin 3-O-beta-D-glucoside = pelargonidin 3-O-beta-D-p-coumaroylglucoside + coenzyme A			MetaCyc:RXN-7998
GO:0102800	caffeoyl-CoA:pelargonidin-3,5-diglucoside-6''-O-acyltransferase activity	Catalysis of the reaction: anthocyanidin 3,5-di-O-beta-D-glucoside + caffeoyl-CoA = pelargonidin 3-O-(6-O-caffeoyl-beta-D-glucoside) 5-O-beta-D-glucoside + coenzyme A			MetaCyc:RXN-8138
GO:0102801	anthocyanin 5-O-glucoside-4'''-O-malonyltransferase activity	Catalysis of the reaction: 4'''-demalonylsalvianin + malonyl-CoA = salvianin + coenzyme A		EC:2.3.1.214	MetaCyc:RXN-8139
GO:0102806	4-coumaroyl-CoA:cyanidin-3,5-diglucoside-6''-O-acyltransferase activity	Catalysis of the reaction: 4-coumaryl-CoA + cyanin betaine <=> shisonin + coenzyme A			MetaCyc:RXN-8170
GO:0102812	4-coumaroyl-CoA:cyanidin-3-O-beta-D-glucoside-6''-O-acyltransferase activity	Catalysis of the reaction: 4-coumaryl-CoA + cyanidin 3-O-beta-D-glucoside betaine <=> cyanidin 3-(p-coumaroyl)-glucoside + coenzyme A			MetaCyc:RXN-8204
GO:0102814	caffeoyl-CoA:delphinidin-3,5,3'-triglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase activity	Catalysis of the reaction: delphinidin 3,3',5-tri-O-beta-D-glucoside betaine + caffeoyl-CoA <=> delphinidin 3-O-glucosyl-5-O-(caffeoylglucoside-3'-O-glucoside) + coenzyme A			MetaCyc:RXN-8232
GO:0102815	caffeoyl-CoA:delphinidin-3,5-diglucoside 5-O-glucoside-6-O-hydroxycinnamoyltransferase activity	Catalysis of the reaction: delphinidin 3-O-beta-D-glucoside-5-O-beta-D-glucoside betaine + caffeoyl-CoA <=> delphinidin 3-O-glucosyl-5-O-caffeoylglucoside + coenzyme A		EC:2.3.1.153	MetaCyc:RXN-8233
GO:0102817	caffeoyl-CoA:3-O-glucosyl-5-O-(caffeoylglucoside-3'-O-glucoside) 3'-O-hydroxycinnamoyltransferase activity	Catalysis of the reaction: delphinidin 3-O-glucosyl-5-O-(caffeoylglucoside-3'-O-glucoside) + caffeoyl-CoA <=> gentiodelphin + coenzyme A			MetaCyc:RXN-8235
GO:0102920	acyl coenzyme A: isopenicillin N acyltransferase activity	Catalysis of the reaction: octanoyl-CoA + isopenicillin N + H2O <=> H+ + coenzyme A + penicillin K + L-2-aminoadipate		EC:2.3.1.164	MetaCyc:RXN-8809
GO:0102922	phenylpropanoyltransferase activity	Catalysis of the reaction: baccatin III + (3R)-3-amino-3-phenylpropanoyl-CoA = N-debenzoyl-(3'-RS)-2'-deoxytaxol + coenzyme A			MetaCyc:RXN-8857
GO:0102923	3'-N-debenzoyl-2'-deoxytaxol N-benzoyltransferase activity	Catalysis of the reaction: 3'-N-debenzoyltaxol + benzoyl-CoA = H+ + paclitaxel + coenzyme A			MetaCyc:RXN-8859
GO:0102966	arachidoyl-CoA:1-dodecanol O-acyltransferase activity	Catalysis of the reaction: icosanoyl-CoA + dodecan-1-ol = arachidoyl dodecanoate + coenzyme A		EC:2.3.1.75	MetaCyc:RXN-9356
GO:0102971	phosphinothricin N-acetyltransferase activity	Catalysis of the reaction: acetyl-CoA + phosphinothricin <=> H+ + coenzyme A(4-) + N-acetylphosphinatothricinate		EC:2.3.1.183	MetaCyc:RXN-9382
GO:0102973	norsolorinate anthrone synthase activity	Catalysis of the reaction: 7 malonyl-CoA + 5 H+ + a hexanoyl-[acyl-carrier-protein] = norsolorinate anthrone + 7 coenzyme A + 7 carbon dioxide + 2 H2O + a holo-[acyl-carrier protein]		EC:2.3.1.221	MetaCyc:RXN-9479
GO:0102989	5-pentadecatrienylresorcinol synthase activity	Catalysis of the reaction: 3 H+ + 9,12,15-cis-hexadecatrienoyl-CoA + 3 malonyl-CoA(5-) <=> 5-(pentadeca-8,11,14-trien-1-yl)resorcinol + 4 coenzyme A + 4 carbon dioxide			MetaCyc:RXN-9618
GO:0103045	methione N-acyltransferase activity	Catalysis of the reaction: L-methionine  + acetyl-CoA = N-acetyl-L-methionine + coenzyme A + H+		EC:2.3.1.1	MetaCyc:RXN0-6948
GO:0103095	wax ester synthase activity	Catalysis of the reaction: a very long chain alcohol + a long-chain acyl-CoA <=> coenzyme A(4-) + a wax ester		EC:2.3.1.75	MetaCyc:RXNQT-4193
GO:0103118	UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase activity	Catalysis of the reaction: UDP-3-O-[(3R)-3-hydroxytetradecanoyl]-alpha-D-glucosamine(1-) + an (3R)-3-hydroxymyristoyl-[acp] <=> UDP-2,3-bis[O-(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine + H+ + a holo-[acyl-carrier protein]		EC:2.3.1.191	MetaCyc:UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
GO:1990698	palmitoleoyltransferase activity	Catalysis of the transfer of a palmitoleyl group, a 16-carbon monounsaturated fatty acid (C16:1), to an acceptor molecule.			
GO:0103079	2-(3'-methylthio)propylmalate synthase activity	Catalysis of the reaction: 5-methylthio-2-oxopentanoate + acetyl-CoA + H2O <=> H+ + 2-(3-methylthiopropyl)malate + coenzyme A			MetaCyc:RXNQT-4163
GO:0103082	2-(4'-methylthio)butylmalate synthase activity	Catalysis of the reaction: 2-oxo-6-methylthiohexanoate + acetyl-CoA + H2O <=> H+ + 2-(4'-methylthio)butylmalate + coenzyme A			MetaCyc:RXNQT-4166
GO:0103085	2-(5'-methylthio)pentylmalate synthase activity	Catalysis of the reaction: 2-oxo-7-methylthioheptanoate + acetyl-CoA + H2O <=> H+ + 2-(5'-methylthio)pentylmalate + coenzyme A			MetaCyc:RXNQT-4169
GO:0103088	2-(6'-methylthio)hexylmalate synthase activity	Catalysis of the reaction: 2-oxo-8-methylthiooctanoate + acetyl-CoA + H2O <=> H+ + 2-(6'-methylthio)hexylmalate + coenzyme A			MetaCyc:RXNQT-4172
GO:0103091	2-(7'-methylthio)heptylmalate synthase activity	Catalysis of the reaction: 2-oxo-9-methylthiononanoate + acetyl-CoA + H2O <=> H+ + 2-(7'-methylthio)heptylmalate + coenzyme A			MetaCyc:RXNQT-4175
GO:0008375	acetylglucosaminyltransferase activity	Catalysis of the transfer of an N-acetylglucosaminyl residue from UDP-N-acetyl-glucosamine to a sugar.		EC:2.4.1	MetaCyc:2.4.1.223-RXN
GO:0008376	acetylgalactosaminyltransferase activity	Catalysis of the transfer of an N-acetylgalactosaminyl residue from UDP-N-acetyl-galactosamine to an oligosaccharide.		EC:2.4.1	
GO:0008915	lipid-A-disaccharide synthase activity	Catalysis of the reaction: 2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate + UDP-2,3-bis(3-hydroxytetradecanoyl)-D-glucosamine = 2,3-bis(3-hydroxytetradecanoyl)-D-glucosaminyl-(1->6)-beta-D-2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate + H(+) + UDP.	RHEA:22668	EC:2.4.1.182	MetaCyc:LIPIDADISACCHARIDESYNTH-RXN
GO:0035250	UDP-galactosyltransferase activity	Catalysis of the transfer of a galactose group from UDP-galactose to an acceptor molecule.			
GO:0035251	UDP-glucosyltransferase activity	Catalysis of the transfer of a glucosyl group from UDP-glucose to an acceptor molecule.			MetaCyc:PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN
GO:0035252	UDP-xylosyltransferase activity	Catalysis of the transfer of a xylosyl group from UDP-xylose to an acceptor molecule.			
GO:0047517	1,4-beta-D-xylan synthase activity	Catalysis of the reaction: UDP-D-xylose + [(1->4)-beta-D-xylan](n) = UDP + [(1->4)-beta-D-xylan](n+1).		EC:2.4.2.24	MetaCyc:RXN-9104
GO:0050501	hyaluronan synthase activity	Catalysis of the reaction: UDP-D-glucuronate + UDP-N-acetyl-D-glucosamine = [beta-N-acetyl-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)](n) + 2n UDP.		EC:2.4.1.212	MetaCyc:2.4.1.212-RXN
